,ACC(一類),Precesion(一類),Recall(一類),F1(一類),ACC,Precesion,Recall,F1,meanACC
r=0 w1= 1 w2= 1,59.036,65.919,84.971,74.242,44.578,49.776,64.162,56.061,85.693
r=0 w1= 1 w2= 2,73.251,76.724,94.18,84.561,54.321,56.897,69.841,62.708,85.134
r=0 w1= 1 w2= 5,59.74,62.727,92.617,74.797,44.156,46.364,68.456,55.285,85.552
r=0 w1= 1 w2=10,64.474,66.818,94.839,78.4,46.491,48.182,68.387,56.533,85.252
r=0 w1= 1 w2=20,74.016,78.333,93.069,85.068,55.512,58.75,69.802,63.801,85.187
r=0 w1= 1 w2=50,64.912,72.835,85.648,78.723,47.368,53.15,62.5,57.447,85.307
r=0 w1= 2 w2= 1,61.512,71.032,82.11,76.17,48.11,55.556,64.22,59.574,85.825
r=0 w1= 2 w2= 2,74.699,80.87,90.732,85.517,53.012,57.391,64.39,60.69,84.789
r=0 w1= 2 w2= 5,64.427,70.563,88.108,78.365,45.85,50.216,62.703,55.769,85.178
r=0 w1= 2 w2=10,67.368,77.108,84.211,80.503,45.965,52.61,57.456,54.927,84.825
r=0 w1= 2 w2=20,73.26,80.321,89.286,84.567,53.114,58.233,64.732,61.311,84.982
r=0 w1= 2 w2=50,75.092,80.709,91.518,85.774,53.114,57.087,64.732,60.669,84.753
r=0 w1= 5 w2= 1,51.695,54.709,90.37,68.156,37.712,39.91,65.926,49.721,85.752
r=0 w1= 5 w2= 2,74.487,85.522,85.235,85.378,50.44,57.912,57.718,57.815,84.494
r=0 w1= 5 w2= 5,46.429,47.706,94.545,63.415,33.929,34.862,69.091,46.341,85.938
r=0 w1= 5 w2=10,68.093,71.429,93.583,81.019,46.304,48.571,63.636,55.093,84.776
r=0 w1= 5 w2=20,71.3,90.857,76.812,83.246,47.085,60.0,50.725,54.974,84.473
r=0 w1= 5 w2=50,79.288,84.775,92.453,88.448,53.398,57.093,62.264,59.567,84.264
r=0 w1=10 w2= 1,52.991,55.357,92.537,69.274,44.017,45.982,76.866,57.542,86.378
r=0 w1=10 w2= 2,50.98,57.353,82.105,67.532,38.562,43.382,62.105,51.082,85.948
r=0 w1=10 w2= 5,64.781,88.75,70.577,78.627,47.263,64.75,51.491,57.364,85.31
r=0 w1=10 w2=10,63.32,67.213,91.62,77.541,41.699,44.262,60.335,51.064,84.797
r=0 w1=10 w2=20,74.088,78.077,93.548,85.115,48.54,51.154,61.29,55.765,84.307
r=0 w1=10 w2=50,68.196,77.431,85.115,81.091,48.318,54.861,60.305,57.455,85.015
r=0 w1=20 w2= 1,44.215,46.121,91.453,61.318,30.579,31.897,63.248,42.407,85.795
r=0 w1=20 w2= 2,69.718,73.606,92.958,82.158,45.775,48.327,61.033,53.942,84.507
r=0 w1=20 w2= 5,58.571,63.077,89.13,73.874,42.5,45.769,64.674,53.604,85.491
r=0 w1=20 w2=10,71.591,81.29,85.714,83.444,49.432,56.129,59.184,57.616,84.73
r=0 w1=20 w2=20,53.991,69.486,70.769,70.122,42.723,54.985,56.0,55.488,86.092
r=0 w1=20 w2=50,48.12,52.893,84.211,64.975,31.579,34.711,55.263,42.64,85.432
r=0 w1=50 w2= 1,62.059,65.325,92.544,76.588,46.176,48.607,68.86,56.987,85.515
r=0 w1=50 w2= 2,37.975,38.627,95.745,55.046,27.426,27.897,69.149,39.755,86.181
r=0 w1=50 w2= 5,68.038,76.786,85.657,80.979,46.203,52.143,58.167,54.991,84.771
r=0 w1=50 w2=10,67.681,81.87,79.614,80.726,43.091,52.125,50.689,51.397,84.426
r=0 w1=50 w2=20,66.138,75.301,84.459,79.618,47.884,54.518,61.149,57.643,85.218
r=0 w1=50 w2=50,69.647,85.303,79.144,82.108,48.235,59.078,54.813,56.865,84.824
r=1 w1= 1 w2= 1,59.35,64.602,87.952,74.49,46.341,50.442,68.675,58.163,85.874
r=1 w1= 1 w2= 2,64.961,70.513,89.189,78.759,49.606,53.846,68.108,60.143,85.581
r=1 w1= 1 w2= 5,65.56,71.818,88.268,79.198,45.643,50.0,61.453,55.138,85.01
r=1 w1= 1 w2=10,69.136,73.684,91.803,81.752,48.148,51.316,63.934,56.934,84.877
r=1 w1= 1 w2=20,65.53,70.902,89.637,79.176,52.273,56.557,71.503,63.158,85.843
r=1 w1= 1 w2=50,75.812,80.769,92.511,86.242,56.679,60.385,69.163,64.476,85.108
r=1 w1= 2 w2= 1,57.741,62.162,89.032,73.21,42.259,45.495,65.161,53.581,85.565
r=1 w1= 2 w2= 2,67.347,71.121,92.697,80.488,46.531,49.138,64.045,55.61,84.898
r=1 w1= 2 w2= 5,73.551,78.378,92.273,84.76,50.362,53.668,63.182,58.038,84.601
r=1 w1= 2 w2=10,71.429,82.707,83.969,83.333,49.351,57.143,58.015,57.576,84.74
r=1 w1= 2 w2=20,70.281,76.087,90.206,82.547,50.201,54.348,64.433,58.962,84.99
r=1 w1= 2 w2=50,61.765,65.333,91.875,76.364,43.697,46.222,65.0,54.026,85.242
r=1 w1= 5 w2= 1,70.956,76.892,90.187,83.011,52.206,56.574,66.355,61.075,85.156
r=1 w1= 5 w2= 2,61.92,65.359,92.166,76.482,46.13,48.693,68.664,56.979,85.526
